sample,symbol,status,return_pct,sharpe_ratio,avg_annual_return_pct,max_drawdown_pct
1,HON,exception,,,,
2,CSCO,exception,,,,
3,MRK,exception,,,,
4,MRK,ok,-0.5043,-8.490986,-0.056082,0.859141
5,MMM,exception,,,,
6,GS,no_trades,0.0,,0.0,0.0
7,TRV,ok,39.1636,0.275492,4.580302,24.127984
8,NKE,ok,0.4101,-4.165164,0.045746,0.862306
9,CAT,ok,-100.001682,0.344252,936.813987,100.008303
10,CSCO,exception,,,,
11,NVDA,invalid_code,,,,
12,NKE,no_trades,0.0,,0.0,0.0
13,CVX,no_trades,0.0,,0.0,0.0
14,VZ,exception,,,,
15,HON,exception,,,,
16,AXP,exception,,,,
17,V,invalid_code,,,,
18,MCD,exception,,,,
19,WMT,exception,,,,
20,CRM,exception,,,,
