sample,symbol,status,return_pct,sharpe_ratio,avg_annual_return_pct,max_drawdown_pct
1,AXP,missing_methods,,,,
2,DIS,missing_methods,,,,
3,HD,missing_methods,,,,
4,AMGN,invalid_code,,,,
5,PG,missing_methods,,,,
6,VZ,missing_methods,,,,
7,MRK,missing_methods,,,,
8,PG,missing_methods,,,,
9,UNH,missing_methods,,,,
10,CSCO,missing_methods,,,,
11,CRM,missing_methods,,,,
12,AXP,missing_methods,,,,
13,IBM,missing_methods,,,,
14,JPM,missing_methods,,,,
15,JPM,missing_methods,,,,
16,NKE,invalid_code,,,,
17,UNH,invalid_code,,,,
18,MSFT,missing_methods,,,,
19,AAPL,missing_methods,,,,
20,NKE,missing_methods,,,,
