sample,symbol,status,return_pct,sharpe_ratio,avg_annual_return_pct,max_drawdown_pct
1,JNJ,exception,,,,
2,WBA,exception,,,,
3,HD,exception,,,,
4,AAPL,exception,,,,
5,HON,exception,,,,
6,TRV,exception,,,,
7,JNJ,exception,,,,
8,CVX,exception,,,,
9,CRM,exception,,,,
10,CAT,exception,,,,
11,TRV,invalid_code,,,,
12,CSCO,invalid_code,,,,
13,GS,exception,,,,
14,HD,no_trades,0.0,,0.0,0.0
15,NKE,exception,,,,
16,HON,exception,,,,
17,NVDA,exception,,,,
18,JNJ,exception,,,,
19,CVX,exception,,,,
20,CAT,exception,,,,
