sample,symbol,status,return_pct,sharpe_ratio,avg_annual_return_pct,max_drawdown_pct
1,JPM,ok,232.7325,0.775016,16.160117,41.545031
2,JNJ,ok,-24.5749,-0.304453,-2.417206,41.255492
3,MCD,ok,174.8235,0.790628,12.827088,15.992472
4,AXP,no_trades,0.0,,0.0,0.0
5,HON,ok,-1.3569,-1.903242,-0.14984,5.221038
6,MCD,ok,24.5528,0.166323,4.263029,41.833235
7,AXP,ok,130.4314,0.54294,11.492861,28.460188
8,CSCO,ok,115.2508,0.533899,10.289905,31.425374
9,DIS,ok,-19.6519,-0.177893,-1.485394,52.524844
10,KO,ok,10.0406,0.054564,1.522572,35.27027
11,IBM,ok,0.3589,-5.583169,0.039962,0.524607
12,WBA,ok,-28.1665,-0.291614,-2.776438,49.842008
13,AAPL,ok,361.0328,0.690295,22.360846,45.674773
14,MRK,ok,52.7948,0.313085,6.057926,33.164589
15,GS,ok,70.0893,0.317933,8.72008,47.859801
16,V,ok,147.6351,0.655417,11.891649,35.20014
17,CRM,ok,-0.2961,-2.585211,-0.032149,1.129168
18,TRV,ok,53.2294,0.454173,5.261279,19.878025
19,NKE,ok,6.2819,0.031996,1.388962,38.227852
20,UNH,ok,52.8537,0.333755,5.800853,35.109153
