sample,symbol,status,return_pct,sharpe_ratio,avg_annual_return_pct,max_drawdown_pct
1,CRM,exception,,,,
2,WBA,ok,-50.398290000000124,-0.39851042082760496,-5.633478916609896,61.80206179845439
3,CAT,exception,,,,
4,VZ,exception,,,,
5,MRK,exception,,,,
6,MMM,exception,,,,
7,TRV,exception,,,,
8,CSCO,exception,,,,
9,JNJ,exception,,,,
10,HD,exception,,,,
11,IBM,exception,,,,
12,TRV,exception,,,,
13,KO,exception,,,,
14,MMM,exception,,,,
15,MRK,ok,0.3359000000000112,-14.81486720374634,0.03728772799572609,0.24232078855723033
16,DOW,missing_methods,,,,
17,AMGN,exception,,,,
18,MCD,exception,,,,
19,DIS,exception,,,,
20,MRK,exception,,,,
